Content Id,Reaction Type,Date,Time,Content Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,Disgust,2020-11-07,1900-01-01 09:43:00,Photo,Studying,Negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Disgust,2021-01-06,1900-01-01 19:13:00,Photo,Studying,Negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Disgust,2021-04-09,1900-01-01 02:46:00,Photo,Studying,Negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Disgust,2021-03-28,1900-01-01 21:15:00,Photo,Healthy Eating,Negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Disgust,2020-08-04,1900-01-01 05:40:00,Photo,Healthy Eating,Negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,Disgust,2021-01-14,1900-01-01 07:21:00,Video,Dogs,Negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,Disgust,2021-01-13,1900-01-01 23:35:00,Video,Dogs,Negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,Disgust,2021-02-11,1900-01-01 20:10:00,Video,Dogs,Negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Disgust,2021-05-27,1900-01-01 01:44:00,Photo,Public Speaking,Negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Disgust,2021-02-13,1900-01-01 04:14:00,Photo,Public Speaking,Negative,0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Disgust,2020-11-07,1900-01-01 08:49:00,Gif,Science,Negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Disgust,2021-03-31,1900-01-01 15:51:00,Gif,Tennis,Negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Disgust,2020-09-11,1900-01-01 16:22:00,Gif,Tennis,Negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Disgust,2020-10-13,1900-01-01 16:31:00,Gif,Tennis,Negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Disgust,2020-07-23,1900-01-01 19:31:00,Gif,Tennis,Negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,Disgust,2020-12-08,1900-01-01 13:12:00,Video,Food,Negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,Disgust,2021-01-05,1900-01-01 13:15:00,Video,Food,Negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,Disgust,2020-11-08,1900-01-01 02:43:00,Video,Food,Negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,Disgust,2021-04-19,1900-01-01 01:45:00,Video,Food,Negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,Disgust,2020-10-18,1900-01-01 12:49:00,Video,Food,Negative,0
7ffd0a82-4a0a-4527-a4d6-e251b756bac7,Disgust,2021-02-08,1900-01-01 03:28:00,Gif,Fitness,Negative,0
f332d362-dc48-46c2-a64b-641157c0987e,Disgust,2021-02-15,1900-01-01 20:35:00,Gif,Soccer,Negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,Disgust,2021-06-09,1900-01-01 09:41:00,Video,Public Speaking,Negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,Disgust,2020-12-26,1900-01-01 06:13:00,Video,Public Speaking,Negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,Disgust,2021-06-15,1900-01-01 17:31:00,Video,Public Speaking,Negative,0
9b3a6d30-48e8-476c-82be-9031524bd04d,Disgust,2020-11-21,1900-01-01 03:14:00,Video,Food,Negative,0
9b3a6d30-48e8-476c-82be-9031524bd04d,Disgust,2021-01-01,1900-01-01 11:23:00,Video,Food,Negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,Disgust,2021-04-10,1900-01-01 09:41:00,Video,Tennis,Negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,Disgust,2020-12-14,1900-01-01 12:53:00,Video,Tennis,Negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,Disgust,2020-10-06,1900-01-01 10:20:00,Video,Tennis,Negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,Disgust,2020-08-27,1900-01-01 15:08:00,Video,Tennis,Negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,Disgust,2020-09-13,1900-01-01 08:14:00,Gif,Soccer,Negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,Disgust,2020-08-19,1900-01-01 03:04:00,Gif,Soccer,Negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,Disgust,2021-03-09,1900-01-01 21:30:00,Gif,Soccer,Negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,Disgust,2020-12-12,1900-01-01 23:02:00,Gif,Soccer,Negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,Disgust,2021-03-30,1900-01-01 23:01:00,Gif,Soccer,Negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,Disgust,2020-10-22,1900-01-01 03:40:00,Gif,Soccer,Negative,0
388bd9db-9d10-4f47-87c4-6db46e83bc95,Disgust,2021-03-31,1900-01-01 00:16:00,Video,Education,Negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,Disgust,2020-12-07,1900-01-01 00:39:00,Photo,Studying,Negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,Disgust,2021-04-07,1900-01-01 22:07:00,Photo,Studying,Negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,Disgust,2020-07-06,1900-01-01 19:29:00,Photo,Studying,Negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,Disgust,2020-09-11,1900-01-01 20:55:00,Photo,Travel,Negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,Disgust,2020-07-26,1900-01-01 11:28:00,Photo,Travel,Negative,0
809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,Disgust,2021-05-11,1900-01-01 03:04:00,Audio,Dogs,Negative,0
34a3747a-0b77-42f6-ae19-87c38b94b674,Disgust,2021-04-28,1900-01-01 07:00:00,Gif,Science,Negative,0
34a3747a-0b77-42f6-ae19-87c38b94b674,Disgust,2020-08-05,1900-01-01 15:37:00,Gif,Science,Negative,0
2920dccb-e06f-49fc-8049-b6d4164dfe84,Disgust,2020-07-21,1900-01-01 09:23:00,Gif,Veganism,Negative,0
2920dccb-e06f-49fc-8049-b6d4164dfe84,Disgust,2020-06-21,1900-01-01 14:10:00,Gif,Veganism,Negative,0
f4e3840e-bb71-40c2-afc5-9408d842646d,Disgust,2021-03-08,1900-01-01 02:51:00,Photo,Healthy Eating,Negative,0
a2ff9bf2-1fa6-4001-9566-f597f8e754ef,Disgust,2021-02-21,1900-01-01 08:37:00,Video,Food,Negative,0
a2ff9bf2-1fa6-4001-9566-f597f8e754ef,Disgust,2020-12-04,1900-01-01 13:10:00,Video,Food,Negative,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,Disgust,2020-12-22,1900-01-01 19:44:00,Video,Dogs,Negative,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,Disgust,2020-07-08,1900-01-01 10:18:00,Video,Dogs,Negative,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,Disgust,2020-10-22,1900-01-01 15:01:00,Video,Dogs,Negative,0
02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,Disgust,2021-01-17,1900-01-01 23:43:00,Video,Cooking,Negative,0
02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,Disgust,2020-06-23,1900-01-01 11:28:00,Video,Cooking,Negative,0
eec5e521-4c28-4e8a-93a9-d544803fad7e,Disgust,2020-10-10,1900-01-01 23:55:00,Audio,Food,Negative,0
49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,Disgust,2020-08-01,1900-01-01 08:00:00,Photo,Technology,Negative,0
49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,Disgust,2020-10-06,1900-01-01 11:27:00,Photo,Technology,Negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,Disgust,2020-06-30,1900-01-01 23:11:00,Gif,Healthy Eating,Negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,Disgust,2021-01-16,1900-01-01 01:40:00,Gif,Healthy Eating,Negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,Disgust,2021-05-21,1900-01-01 14:58:00,Gif,Healthy Eating,Negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,Disgust,2020-10-01,1900-01-01 07:34:00,Gif,Healthy Eating,Negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,Disgust,2020-07-07,1900-01-01 12:17:00,Gif,Healthy Eating,Negative,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,Disgust,2020-09-08,1900-01-01 15:30:00,Audio,Animals,Negative,0
